name,city,state,postcode,lat,lon,source,osm_id,osm_type,website,opening_hours,ebt_active,snap_record_id,snap_name,snap_city,snap_state,snap_zip,snap_lat,snap_lon,snap_auth_date,snap_end_date,match_distance_m,match_name_score
River Market,,AL,,33.2165387,-87.562781,OSM,2231183577,node,,,True,1055886,Tuscaloosa River Market,Tuscaloosa,AL,35401,33.216637,-87.56242,05/09/2012,,35.3,0.476
South Anchorage Farmers Market,Anchorage,AK,99515,61.1201084,-149.86067,OSM,10019479241,node,https://www.safm.org/,,False,1049609,South Anchorage Farmers Market,Anchorage,AK,99515,61.11995,-149.86162,04/26/2012,05/31/2017,54.0,1.0
Grow North Farm,anchorage,AK,99508,61.2245063,-149.814339,OSM,10019479245,node,https://anchoragelandtrust.org/grow-north-farm/,,False,1461199,Grow North Farm,Anchorage,AK,99508,61.224613,-149.81401,07/01/2021,05/24/2023,21.2,1.0
Anchorage Farmers Market,Anchorage,AK,99501,61.2081259,-149.880815,OSM,10574097661,node,https://www.anchoragefarmersmarket.org/our-vendors/,,False,1096559,Anchorage Farmers Market,Anchorage,AK,99501,61.20841,-149.87924,04/10/2013,11/29/2024,90.1,1.0
Tanana Valley Farmers Market,Fairbanks,AK,99708,64.8629397,-147.7824251,OSM,944425914,way,https://www.tvfmarket.com/,,True,1145283,Tanana Valley Farmers Market,Fairbanks,AK,99709,64.862465,-147.78175,05/07/2014,,61.7,1.0
Sierra Vista Farmers Market,,AZ,,31.555643,-110.266665,OSM,5133838329,node,http://www.sierravistafarmersmarket.com/,Th 10:00-14:00; Nov Th[4]  off,False,1221556,Sierra Vista Farmers Market Llc.,Sierra Vista,AZ,85635,31.554667,-110.26686,10/27/2015,01/28/2019,110.1,0.857
Judd Hill Farmers' Market,,AR,,35.8422993,-90.6659813,OSM,18658764,relation,,,False,854735,Judd Hill Farmers' Market,Jonesboro,AR,72401,35.842148,-90.66622,05/20/2008,12/20/2018,27.3,1.0
Fort Mason Farmer's Market,,CA,,37.8061667,-122.4315658,OSM,1478520965,node,,,True,1326494,Fort Mason Farmers Market,San Francisco,CA,94123,37.805466,-122.43198,06/20/2018,,86.0,0.909
Mountain View Farmer's Market,,CA,,37.3933767,-122.0740609,OSM,1583862294,node,,Su 09:00-13:00,True,1327054,Mountain View Farmers Market,Mountain View,CA,94041,37.393948,-122.076164,06/27/2018,,196.4,0.929
Hollywood Farmers Market,Hollywood,CA,90028,34.0997432,-118.328298,OSM,2247860156,node,https://hfm.la/,Su 08:00-13:00,False,600770,Hollywood F M - Sust Econ Enterp of LA,Los Angeles,CA,90028,34.09984,-118.328094,05/30/1991,11/25/2022,21.6,0.4
Farmers Market,Sacramento,CA,95825,38.6082176,-121.3793004,OSM,2342926896,node,,,True,1134808,Arden-Arcade Certified Farmers' Market,Sacramento,CA,95825,38.60825,-121.379875,02/12/2014,,50.1,0.0
Farmers Market,Sacramento,CA,95817,38.5486929,-121.4697424,OSM,2390947266,node,,,True,944028,Oak Park Farmers Market,Sacramento,CA,95817,38.548645,-121.469086,04/27/2010,,57.3,0.0
Farmers Market,Sacramento,CA,95825,38.6016845,-121.392504,OSM,2390970857,node,,Apr-Oct Fr 09:30-13:30,False,1197201,Sierra Fresh Farmers' Markets Kaiser Morse Ave,Sacramento,CA,95825,38.60286,-121.392235,04/28/2015,11/29/2024,132.8,0.0
Farmers Market,Sacramento,CA,95815,38.5965905,-121.4294016,OSM,2390977916,node,,Apr-Oct Mo 09:30-13:30,False,1197189,Sierra Fresh Farmers' Markets Kaiser Point West,Sacramento,CA,95815,38.596313,-121.428024,04/28/2015,11/29/2024,123.6,0.0
City Heights Market,,CA,,32.7478591,-117.1015151,OSM,2993406188,node,http://www.sdfarmbureau.org/BuyLocal/Farmers-Markets.php/wb/#cityhts,Sa 9:00-13:00,False,1456354,City Heights Farmers Market 4,San Diego,CA,92105,32.747704,-117.10149,07/22/2021,06/19/2024,17.4,0.923
Marina del Rey Farmers Market,,CA,,33.9793326,-118.4589084,OSM,3755316270,node,,Sa 09:00-14:00,True,1098908,Marina Del Rey Farmers' Market,Marina Del Rey,CA,90292,33.97904,-118.45663,05/01/2013,,212.6,1.0
Jack London Square – Oakland Farmers Market,,CA,,37.7940844,-122.274763,OSM,3810633923,node,https://www.pcfma.org/jacklondonsq,Su 10:00-15:00,False,1065717,Jack London Square Farmers' Market,Oakland,CA,94607,37.794525,-122.274216,08/01/2012,01/09/2017,68.6,0.818
Temescal - Oakland Farmers Market,oakland,CA,94618,37.8399089,-122.2594145,OSM,3810636657,node,https://uvfm.org/temescal-sunday,Su 09:00-13:00,True,1185572,Temescal Farmers' Market,Oakland,CA,94618,37.83973,-122.26011,02/16/2015,,64.2,0.667
Fruitvale - Oakland Farmers Market,,CA,,37.7756872,-122.2242054,OSM,3810637762,node,,Sa 14:00-19:00,False,1099257,Spanish Speaking Unity Council,Oakland,CA,94601,37.77592,-122.223915,05/30/2013,06/24/2021,36.4,0.17
Palo Alto Farmer's Market,,CA,,37.4453603,-122.1590277,OSM,4526793032,node,https://www.pafarmersmarket.org/,Sa 8:00-12:00,False,1336310,Downtown Palo Alto Farmers' Market,Palo Alto,CA,94301,37.445717,-122.159645,10/15/2018,09/20/2019,67.4,0.621
Echo Park Farmers' Market,,CA,,34.0769108,-118.2585944,OSM,4569861297,node,https://seela.org/markets-echo-park/,Fr 15:00-19:30,False,1073280,Echo Park FM - Sust Econ Enterp of LA,Los Angeles,CA,90026,34.076954,-118.25855,10/11/2012,11/25/2022,6.3,0.409
Silverlake Farmers Market,,CA,90026,34.0905618,-118.277379,OSM,4580741352,node,,"Mo,We-Fr,Su off; Tu 01:30-19:00; Sa 08:00-13:30",True,1074367,Silver Lake Cfm,Los Angeles,CA,90026,34.090267,-118.277275,09/27/2012,,34.2,0.8
Bay Area Night Market,,CA,,37.524974,-121.9995697,OSM,5696143243,node,,,True,1077096,Newark Farmers Market/Ag Institute of Marin,Newark,CA,94560,37.52462,-121.99955,10/30/2012,,39.4,0.238
Danville Farmers' Market,Danville,CA,94526,37.8204968,-122.00043,OSM,6959323280,node,,Sa 09:00-13:00,True,1065700,Danville Farmers' Market,Danville,CA,94526,37.82078,-122.00051,07/24/2012,,32.3,1.0
Motor Avenue Farmers Market,,CA,,34.0289456,-118.4113021,OSM,8382278869,node,https://www.motoravenuemarket.com/,Su 09:00-14:00,False,1163084,Motor Ave Farmers Market,Los Angeles,CA,90034,34.02879,-118.411514,09/11/2014,12/20/2018,26.1,0.857
Culver City Farmers' Market,,CA,,34.0246277,-118.3943995,OSM,9130489297,node,https://www.culvercityfarmersmarket.org/,Tu 14:00-19:00,False,607407,CULVER CITY FARMERS MARKET,Culver City,CA,90232,34.024693,-118.39367,09/06/1995,02/24/2009,67.6,1.0
West LA Farmers Market,,CA,,34.0455828,-118.4505626,OSM,9559516415,node,,Su 09:00-14:00,False,1248638,West La Farmers Market,Los Angeles,CA,90025,34.045776,-118.45065,05/26/2016,04/13/2017,22.9,1.0
Brentwood Farmers Market,,CA,,34.0504995,-118.47503,OSM,10181219315,node,,Su 09:00-14:00,True,1232776,Brentwood CFM,Los Angeles,CA,90049,34.050636,-118.47515,02/17/2016,,18.8,0.818
Ferry Plaza Farmers Market,,CA,,37.7952753,-122.3923704,OSM,10651024023,node,https://foodwise.org/markets/ferry-plaza-farmers-market/,Tu 10:00-14:00; Th 10:00-14:00; Sa 08:00-14:00,True,366890,Ferry Plaza Farmers Market,San Francisco,CA,94111,37.795452,-122.39338,09/25/1997,,90.9,1.0
Berryessa Farmers' Market,San Jose,CA,95132,37.4026102,-121.8477815,OSM,10655777211,node,https://www.pcfma.org/berryessa,Apr 01-Nov 18 Sa 09:00-13:00,True,1065683,Berryessa Farmers' Market,San Jose,CA,95132,37.402184,-121.84737,07/24/2012,,59.7,1.0
Scotts Valley Farmers Market,,CA,,37.0550209,-122.0110981,OSM,10894495098,node,https://santacruzfarmersmarket.org/markets/scotts-valley/,May Sa[1]-Nov Sa[3] Sa 09:00-13:00,True,1102949,Scotts Valley Farmers Market,Scotts Valley,CA,95066,37.05517,-122.011086,05/23/2013,,16.6,1.0
Westwood Village Farmers Market,,CA,,34.061758,-118.4464374,OSM,10925657805,node,https://thewestwoodvillage.com/events/westwood-village-farmers-market/,Th 12:00-17:00,False,1304740,Westwood Village Farmers' Market,Los Angeles,CA,90024,34.06208,-118.44666,11/14/2017,11/25/2022,41.3,1.0
Laguna Hills Farmer's Market,,CA,,33.6123916,-117.7095099,OSM,11020560267,node,https://www.ocfarmbureau.org/shop-at-farmer-s-markets,"Fr 09:00-13:00 ""Rain or shine""",True,1550883,Laguna Hills Farmers Market,Laguna Hills,CA,92653,33.61187,-117.709435,08/25/2023,,58.4,0.923
Mar Vista Farmers' Market,,CA,,34.0045841,-118.4309913,OSM,11345417100,node,https://www.marvistafarmersmarket.org/,Su 09:00-14:00,False,977833,Mar Vista Farmers' Market,Los Angeles,CA,90066,34.003113,-118.42954,11/18/2010,08/24/2016,211.3,1.0
West Oakland Farmers' Market,,CA,,37.8144378,-122.2919127,OSM,11918627087,node,https://www.westoaklandfarmersmarket.org/,Su 10:00-14:00,True,1501759,West Oakland Farmers Market,Oakland,CA,94607,37.814655,-122.291756,05/22/2022,,27.8,1.0
Prescott Night Market,,CA,,37.8144672,-122.2924621,OSM,11971191448,node,https://www.westoaklandfarmersmarket.org/nightmarket,Jun-Oct Th 16:00-20:00,True,1501759,West Oakland Farmers Market,Oakland,CA,94607,37.814655,-122.291756,05/22/2022,,65.4,0.385
Davis Farmer's Market,,CA,,38.5447817,-121.7440979,OSM,12147212608,node,https://www.davisfarmersmarket.org/,Sa 08:00-13:00; We 15:00-18:00; May-Sep We 16:00-20:00,True,963400,Davis Farmers Market,Davis,CA,95616,38.544334,-121.74398,10/06/2010,,50.8,0.833
Santa Rosa Community Farmers Market,Santa Rosa,CA,95405,38.4341134,-122.6893299,OSM,12976266032,node,,,True,1134689,Santa Rosa Community Farmers Market,Santa Rosa,CA,95405,38.434574,-122.68822,02/12/2014,,109.4,1.0
Westside Farmer's Market,,CA,,36.9601361,-122.0563552,OSM,34994967,way,,Sa 09:00-13:00,True,1104174,Westside Farmers Market,Santa Cruz,CA,95060,36.9592,-122.05545,05/23/2013,,131.5,0.889
Belmont Farmer's Market,,CA,,37.5185111,-122.2732247,OSM,99584438,way,,Su 09:00-13:00,True,1065681,Belmont Farmers' Market,Belmont,CA,94002,37.519257,-122.27434,07/23/2012,,128.7,0.875
Santa Monica Farmers Market,,CA,,34.0166333,-118.4982368,OSM,194336662,way,,We Sa,True,628687,SANTA MONICA CERTIFIED FRMRS MKT,SANTA MONICA,CA,90401,34.016228,-118.498634,01/01/1930,,58.1,0.545
Downtown Farmer's Market Wed PM,,CA,,36.9720138,-122.0266328,OSM,257827433,way,,We 13:30-18:30,True,518525,Santa Cruz Community Farmers Market,SANTA CRUZ,CA,95061,36.972485,-122.02706,09/03/1996,,64.7,0.222
Fruitvale Public Market,,CA,,37.776304,-122.2240996,OSM,259804434,way,,,False,1099257,Spanish Speaking Unity Council,Oakland,CA,94601,37.77592,-122.223915,05/30/2013,06/24/2021,45.7,0.174
Diablo Valley Farmers' Market,Walnut Creek,CA,94598,37.9279728,-122.0282216,OSM,354759211,way,,Sa 9:00-13:00,False,1073742,Diablo Valley Certified Farmer's Markets,Walnut Creek,CA,94598,37.928413,-122.02654,12/05/2012,05/17/2018,155.4,0.684
Alemany Farmers Market,,CA,,37.7359725,-122.4100436,OSM,367586034,way,https://www.sf.gov/location--alemany-farmers-market,,True,741169,Alemany Farmers Market,San Francisco,CA,94110,37.73621,-122.409195,01/14/2005,,79.2,1.0
Calabasas Saturday Farmers Market,,CA,,34.1571844,-118.6386442,OSM,380023148,way,,Sa 09:00-13:00,True,1232777,Calabasas CFM,Calabasas,CA,91302,34.15746,-118.63876,02/17/2016,,32.4,0.645
Warner Business Center Certified Wednesday Farmers Market,,CA,,34.1741011,-118.5935852,OSM,381643990,way,,We 10:00-14:00,True,1542304,Warner Center Farmers Market,Woodland Hills,CA,91367,34.174343,-118.59402,04/21/2023,,48.2,0.473
Canoga Saturday Farmers Market,,CA,,34.2022082,-118.6015906,OSM,385737288,way,,Sa 09:00-13:00,True,1059150,Canoga Park Certified Farmers' Market,Canoga Park,CA,91303,34.202522,-118.60154,06/29/2012,,35.2,0.556
Thursday Evening Market,,CA,,34.697688,-118.1432853,OSM,439624433,way,,Th 16:00-21:00,True,1109149,Lancaster CFM,Lancaster,CA,93534,34.697514,-118.14367,10/28/2013,,40.1,0.207
Watsonville Farmer's Market Fri PM,,CA,,36.9099286,-121.7554952,OSM,465951860,way,,Fr 13:30-18:30,False,363364,Watsonville Certified Farmers Market,Watsonville,CA,95076,36.909676,-121.75627,08/07/1998,03/04/2004,74.4,0.683
Ecology Center Farmer's Market,,CA,,37.8477253,-122.2720787,OSM,651868840,way,https://www.ecologycenter.org/fm/,Tu 14:00-18:30,True,517226,Ecology Center Farmers Market Tuesday S Berkley,BERKELEY,CA,94704,37.84773,-122.27194,07/22/1981,,12.2,0.667
Montclair Village Farmers’ Market,,CA,,37.8264836,-122.2100506,OSM,696614060,way,http://www.urbanvillageonline.com/markets/montclair-village/,Su 9:00-13:00,True,1571309,Montclair Farmers' Market,Oakland,CA,94611,37.826424,-122.21027,01/23/2024,,20.4,0.692
Modesto Certified Farmer's Market,,CA,,37.6433411,-120.9928695,OSM,708312409,way,https://modestocfm.com/,"Mar 14-Nov 21 Th 08:00-13:00; Mar 16-Dec 21 Sa 08:00-13:00; 2019 Nov 30 off ""for year 2019""",False,439751,MODESTO CERTIFIED FARMERS MARKET,MODESTO,CA,95353,37.642838,-120.99221,01/01/1930,02/24/2009,80.6,0.944
NoHo Saturday AM Farmers Market,,CA,,34.167491,-118.3774245,OSM,943814794,way,,,True,1330384,NoHo Farmers Market,North Hollywood,CA,91601,34.167576,-118.37747,09/13/2018,,10.3,0.4
Kensington Farmer's Market,,CA,,37.8994283,-122.2876282,OSM,1108103084,way,https://www.kensingtonfarmersmarket.org/,Su 09:00-14:00,True,1306036,Kensington Community Market,Albany,CA,94706,37.89924,-122.2874,12/31/2017,,29.0,0.909
Woodland Hills Saturday 9-2 Farmers Market,,CA,,34.1733282,-118.6141894,OSM,1248980190,way,,Sa 08:30-14:00,True,1538949,Woodland Hills Farmers Market,Woodland Hills,CA,91367,34.17333,-118.61375,04/20/2023,,40.4,0.683
Redlands Saturday AM Farmers Market,,CA,,34.0570361,-117.1809284,OSM,1385641955,way,,Sa 09:00-13:00,False,1112248,Redlands Saturday Morning Farmers' Market,Redlands,CA,92374,34.056427,-117.18046,09/16/2013,04/02/2023,80.3,0.844
Boulder Farmers Market,Boulder,CO,,40.0151491,-105.2776903,OSM,3196452693,node,https://bcfm.org/,Apr-Nov Sa 08:00-14:00; May-Sep We 15:30-19:30,True,1407841,Boulder Farmers Market,Boulder,CO,80302,40.01506,-105.27756,06/08/2020,,14.9,1.0
Greeley Farmer's Market,,CO,,40.4231373,-104.6885404,OSM,4758511172,node,,,True,816827,Greeley Farmers Market,Greeley,CO,80631,40.423878,-104.688995,03/17/2007,,90.9,0.875
Larimer County Farmers Market,Fort Collins,CO,,40.5859348,-105.0799906,OSM,7237275252,node,http://www.larimercountyfarmersmarket.org/,Jun-Oct: Sa 06:00-12:00,True,817087,Larimer County Farmers Market,Fort Collins,CO,80521,40.585636,-105.08052,03/21/2007,,55.7,1.0
Telluride Farmers' Market - Friday,Telluride,CO,81435,37.9368347,-107.813132,OSM,10140001208,node,https://www.thetelluridefarmersmarket.com/,Fr 10:30-15:30,False,1055055,Telluride Farmers Market,Telluride,CO,81435,37.937237,-107.81286,05/10/2012,08/31/2017,50.7,0.72
Drake Road Farmers Market,Fort Collins,CO,,40.5532225,-105.0910115,OSM,313745222,way,http://www.drakeroadfarmersmarket.com/,Jun-Oct Sa 10:00-13:00,False,1065552,Drake Road Farmers' Market,Fort Collins,CO,80526,40.55277,-105.09046,07/06/2012,11/19/2021,68.6,1.0
Willimantic Farmers' Market,Willimantic;Windham,CT,06226,41.712225,-72.2188459,OSM,9140878415,node,https://www.willimanticfarmersmarket.org/,May Sa[2]-Oct Sa[-1] Sa 08:00-12:00,True,783675,WILLIMANTIC FARMER'S MARKET,Willimantic,CT,06226,41.712116,-72.21939,03/17/2006,,46.8,0.917
South Windsor Farmer's Market,South Windsor,CT,06074,41.8433392,-72.5488936,OSM,9941654433,node,,Sa 09:00-12:00,False,1093412,South Windsor Farmers Market,South Windsor,CT,06074,41.84431,-72.54676,05/07/2013,04/04/2018,207.1,0.929
Upper East Side Farmers Market,,FL,,25.8366339,-80.1840315,OSM,3233769733,node,,Sa 09:00-14:00,False,978921,Legion Park Farmers Market,Miami,FL,33138,25.836664,-80.18416,12/21/2010,08/24/2016,13.3,0.154
Grove Street Farmers Market,Gainesville,FL,32601,29.6614456,-82.3279935,OSM,8007791766,node,https://www.grovestreetfarmersmarket.com/,Mo 16:00-19:00,False,1422886,Grove Street Farmers' Market,Gainesville,FL,32601,29.661345,-82.32869,09/22/2020,11/29/2024,68.2,1.0
Alachua County Farmer's Market,,FL,,29.7099863,-82.3534512,OSM,399347548,way,https://441market.com/,Sa 08:30-13:00,False,1410366,Alachua County Farmers Market,Gainesville,FL,32653,29.710623,-82.352516,07/30/2020,11/29/2024,114.8,0.933
Kissimmee Valley Farmer's Market,,FL,,28.2904237,-81.4058402,OSM,478681053,way,,,False,1235522,Kissimmee Valley Farmers Market,Kissimmee,FL,34741,28.289803,-81.4053,02/24/2016,09/20/2019,87.0,0.941
Sumter County Farmers Market,Webster,FL,33597,28.6159636,-82.0568298,OSM,888785193,way,http://www.sumtercountyfarmersmarket.com/,,True,1113574,Sumter County Farmers Market,Webster,FL,33597,28.61609,-82.05476,11/07/2013,,202.5,1.0
Grant Park Farmers Market,,GA,,33.7363316,-84.3733083,OSM,1460581338,node,,,False,1188930,Community Farmers Markets - Grant Park,Atlanta,GA,30312,33.738068,-84.373566,02/28/2015,12/26/2019,194.5,1.0
Green Market,,GA,,33.7841708,-84.3779313,OSM,4020735007,node,,Mar-Dec: Sa 09:00-13:00,True,1483257,Piedmont Park Green Market,Atlanta,GA,30309,33.783863,-84.37863,01/26/2022,,73.1,0.417
Athens Farmers Market,,GA,,33.964433,-83.412198,OSM,7968715252,node,,Sa 08:00-12:00,False,937419,ATHENS FARMERS MARKET,Athens,GA,30606,33.963783,-83.410866,03/08/2010,12/26/2019,142.5,1.0
Monroe Farmers Market,,GA,,33.794494,-83.7128681,OSM,7968805246,node,http://monroedowntownfarmersmarket.com/,Sa 08:00-12:00,True,1096287,Monroe Farmers Market,Monroe,GA,30655,33.794075,-83.71254,04/30/2013,,55.6,1.0
Brunswick Harbor Market,Brunswick,GA,31520,31.1494774,-81.4984797,OSM,11340593274,node,https://forwardbrunswick.org/farmersmarket/,"Sa[1],Sa[3],Sa[5] 08:00-14:00",True,1403052,Brunswick Bazaar And Farmer's Market,Brunswick,GA,31520,31.149637,-81.49868,06/10/2020,,26.0,0.632
Forward Brunswick Farmers' Market,Brunswick,GA,31520,31.1495383,-81.4984931,OSM,11340593275,node,https://forwardbrunswick.org/farmersmarket/,"Sa[2],Sa[4] 09:00-13:00",True,1403052,Brunswick Bazaar And Farmer's Market,Brunswick,GA,31520,31.149637,-81.49868,06/10/2020,,20.9,0.462
Veggie Park Farmers Market,,GA,,33.4775311,-81.9893703,OSM,11413262187,node,,,False,1188952,Augusta Locally Grown - Veggie Park,Augusta,GA,30904,33.47714,-81.989655,02/27/2015,11/29/2024,50.9,0.5
Atlanta Municipal Market,,GA,,33.7539279,-84.3799682,OSM,39448667,way,,,False,1135401,Sweet Auburn Curb Market,Atlanta,GA,30303,33.75437,-84.38001,03/07/2014,10/28/2014,49.3,0.235
International City Farmer's Market,,GA,,32.618971,-83.6105274,OSM,781661247,way,,Th 13:00-18:00,True,1560884,"International City Farmers Market, LLC",Warner Robins,GA,31093,32.618546,-83.611,09/24/2023,,64.7,0.905
Hanalei Farmer's Market,Hanalei,HI,96714,22.2014337,-159.498842,OSM,3743435260,node,https://halehalawai.org/,Sa 09:30-12:00,True,1436636,Hanalei Farmers Market,Hanalei,HI,96714,22.20122,-159.49892,04/02/2021,,25.1,0.875
Kinoole Farmers Market,,HI,,19.6904784,-155.0699302,OSM,9104127889,node,,Sa 6:30-11:00,False,1051250,Kinoole Farmer's Market,Hilo,HI,96720,19.690077,-155.06955,04/04/2012,11/19/2021,59.8,0.875
Hilo Farmers Market - Crafts,,HI,,19.7231904,-155.0846504,OSM,287389084,way,,,True,433230,Hilo Farmers Market,Hilo,HI,96720,19.723587,-155.08505,04/29/1999,,60.8,0.533
Hilo Farmer's Market - Food,,HI,,19.7234883,-155.0848757,OSM,287389085,way,,,True,433230,Hilo Farmers Market,Hilo,HI,96720,19.723587,-155.08505,04/29/1999,,21.3,0.533
Portneuf Valley Farmers Market,,ID,,42.864711,-112.4530721,OSM,8999636126,node,,,False,947922,Portneuf Valley Farmers Market,Pocatello,ID,83204,42.864574,-112.453384,04/23/2010,12/26/2019,29.6,1.0
Saturday Farmers' Market,,IL,,40.9461135,-90.3653756,OSM,1907946069,node,,May-Oct Sa 08:00-12:00,True,1500834,Galesburg Farmers' Market,Galesburg,IL,61401,40.946316,-90.365295,05/25/2022,,23.5,0.353
