name,city,lat,lon,postcode,accept_snap,website,opening_hours,street,state,source
Harvest Home East Harlem Farmers Market,Manhattan,40.7903,-73.945635,,,,,E. 104th St. & 3rd Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Brooklyn,40.63262,-73.947439,,,,,Flatbush/Nostrand Triangle,NY,nyc_open_data:8vwk-6iz2
Morris Heights Farmstand,Bronx,40.854567,40.854567,,,,,University Ave. and W. 179th St.,NY,nyc_open_data:8vwk-6iz2
170 Farm Stand,Bronx,40.840138,-73.916591,,,,,1406 Townsend Ave.,NY,nyc_open_data:8vwk-6iz2
JBOLC Garden Community Farmers Market,Bronx,40.882647,-73.886562,,,,,Sedgwick Ave. & Goulden Ave.,NY,nyc_open_data:8vwk-6iz2
Perez Farm Stand,Queens,40.70236,-73.818531,,,,,"134-20 Jamaica Ave., by the Axel Building",NY,nyc_open_data:8vwk-6iz2
7th Ave Sunset Park Greenmarket,Brooklyn,40.645841,-74.002402,,,,,7th Ave. & 44th St.,NY,nyc_open_data:8vwk-6iz2
PS 11 Farm Market,Manhattan,40.744349,-74.000253,,,,,320 W. 21st St.,NY,nyc_open_data:8vwk-6iz2
Astor Place Greenmarket,Manhattan,40.729820,-73.991023,,,,,E. 8th St. & Lafayette,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Emblem Health,Brooklyn,40.675209,-73.896508,,,,,101 Pennsylvania Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle East Flatbush Farm Stand 2,Brooklyn,40.642031,-73.931151,,,,,4801 Ave. D (PS 208),NY,nyc_open_data:8vwk-6iz2
Tribeca Greenmarket,Manhattan,40.716303,-74.010966,,,,,Greenwich & Chambers streets,NY,nyc_open_data:8vwk-6iz2
Eastern Parkway Farm Stand,Brooklyn,40.668787,-73.921582,,,,,1420 Eastern Parkway,NY,nyc_open_data:8vwk-6iz2
Brownsville Pitkin Farmstand,Brooklyn,40.669234,-73.913698,,,,,Pitkin Ave. bet Thomas Boyland and Amboy St.,NY,nyc_open_data:8vwk-6iz2
Ditmars Park Farmstand,Queens,40.772854,-73.906061,,,,,Steinway St. bet Ditmars Blvd. & 23rd Ave.,NY,nyc_open_data:8vwk-6iz2
Carroll Gardens Greenmarket,Brooklyn,40.680761,-73.99552,,,,,Smith & Carroll Sts.,NY,nyc_open_data:8vwk-6iz2
Fort Washington Greenmarket,Manhattan,40.842296,-73.942027,,,,,168th St. & Ft. Washington Ave.,NY,nyc_open_data:8vwk-6iz2
Bissel Gardens Farmers Market,Bronx,40.90152,-73.846937,,,,,Baychester Ave. & E. 241st St.,NY,nyc_open_data:8vwk-6iz2
NYP Youth Market - Brooklyn,Brooklyn,40.669218,-73.979629,,,,,249 7th Ave.,NY,nyc_open_data:8vwk-6iz2
QueensVillage Farmers Market,Queens,40.717978,-73.735337,,,,,QueensVillage Long Island Railroad Commuter Parking Lot - Amboy Ln. & Springfield Blvd.,NY,nyc_open_data:8vwk-6iz2
Uptown Good Food Farm Stand,Manhattan,40.81172,-73.951795,,,,,330 St. Nicholas Ave. (St. Nicholas Miracle Garden),NY,nyc_open_data:8vwk-6iz2
Bronx Park East Farmers Market,Bronx,40.851713,-73.867786,,,,,2222 Bronx Park E. (near Bradley Playground),NY,nyc_open_data:8vwk-6iz2
Far Rock Farm Stand,Queens,40.595572,-73.777001,,,,,45-55 Beach Channel Dr.,NY,nyc_open_data:8vwk-6iz2
Lincoln Hospital Greenmarket,Bronx,40.818013,-73.925185,,,,,E. 149th St. bet Park & Morris Aves,NY,nyc_open_data:8vwk-6iz2
Tompkins Square Greenmarket,Manhattan,40.726054,-73.983534,,,,,7th St. & Ave. A,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Medgar Evers College,Brooklyn,40.666799,-73.956679,,,,,1630 Bedford Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home St. Mary's Park Farm Stand,Bronx,40.8139,-73.911812,,,,,E. 149th St. & Eagle Ave. (St. Mary's Park),NY,nyc_open_data:8vwk-6iz2
Children's Aid Society Go!Healthy Food Box + Famstand - Goodhue Center,Staten Island,40.638936,-74.097966,,,,,304 Prospect Ave.,NY,nyc_open_data:8vwk-6iz2
New Roots Farm Stand,Bronx,40.821447,-73.925492,,,,,670 Grand Concourse,NY,nyc_open_data:8vwk-6iz2
PS 57 Farmstand,Manhattan,40.797577,-73.94128,,,,,115th St. & 3rd Ave. (SW corner),NY,nyc_open_data:8vwk-6iz2
Inwood Park Greenmarket,Manhattan,40.869001,-73.920896,,,,,Isham St bet Seaman Ave. & Cooper St.,NY,nyc_open_data:8vwk-6iz2
Staten Island Mall Greenmarket,Staten Island,40.583804,-74.161245,,,,,Marsh Ave. & Ring Road,NY,nyc_open_data:8vwk-6iz2
Gouverneur Health Farmstand,Manhattan,40.712905,-73.986928,,,,,Madison St. bet Clinton & Jefferson Sts.,NY,nyc_open_data:8vwk-6iz2
Rockaway Market @ Beach 60th,Queens,40.592902,-73.789051,,,,,Rockaway Freeway & Beach 60th St.,NY,nyc_open_data:8vwk-6iz2
Kensington Farmstand,Brooklyn,40.64511,-73.979882,,,,,McDonald Ave. & Albermarle Road,NY,nyc_open_data:8vwk-6iz2
Rockaway Youth Task Force Youth Market,Queens,40.594492,-73.788077,,,,,310 Beach 58th St.,NY,nyc_open_data:8vwk-6iz2
Poe Park Greenmarket,Bronx,40.864310,-73.895379,,,,,E. 192nd St. bet Grand Concourse & Valentine,NY,nyc_open_data:8vwk-6iz2
175th Street Greenmarket,Manhattan,40.845948,-73.937811,,,,,W. 175th St. bet. Wadsworth Ave. & Broadway,NY,nyc_open_data:8vwk-6iz2
Harvest Home Lenox Avenue Farm Stand,Manhattan,40.802699,-73.949186,,,,,Lenox Ave. bet. W. 117 & 118 Sts.,NY,nyc_open_data:8vwk-6iz2
82nd Street Greenmarket,Manhattan,40.774292,-73.951262,,,,,E. 82nd St. bet 1st & York Aves,NY,nyc_open_data:8vwk-6iz2
Fulton Stall Market (indoor farmers market),Manhattan,40.705865,-74.003769,,,,,91 South St.,NY,nyc_open_data:8vwk-6iz2
Project EATS & St. Barnabas Hospital Farm Stand,Bronx,40.853237,-73.891742,,,,,4507 3rd Ave.,NY,nyc_open_data:8vwk-6iz2
Isabahlia Farmers Market,Brooklyn,40.667554,-73.910207,,,,,514 Rockaway Ave. (ISO Student Farm),NY,nyc_open_data:8vwk-6iz2
Morrisania Farmstand,Bronx,40.83118,-73.900545,,,,,169th St. & Boston Rd. (at McKinley Square),NY,nyc_open_data:8vwk-6iz2
Children's Aid Go!Healthy Food Box + Farmstand - CS211,Bronx,40.843546,-73.889755,,,,,1919 Prospect Ave.,NY,nyc_open_data:8vwk-6iz2
Domino Park Greenmarket,Brooklyn,40.715385,-73.967441,,,,,River St. bet S 1st St. and S. 3rd St.,NY,nyc_open_data:8vwk-6iz2
Weeksville Farm Stand,Brooklyn,40.678508,-73.924628,,,,,15 Buffalo Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Harlem Hospital Farmers Market,Manhattan,40.815403,-73.93991,,,,,W. 137th St. & Lenox Ave.,NY,nyc_open_data:8vwk-6iz2
BronxWorks Farm Stand,Bronx,40.832759,-73.919296,,,,,1130 Grand Concourse,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Flabush - Ditmas Park Farm Stand,Brooklyn,40.641937,-73.965523,,,,,330 Rugby Rd.,NY,nyc_open_data:8vwk-6iz2
Crown Heights Farmstand,Brooklyn,40.666472,-73.950807,,,,,Nostrand Ave. and Crown St. (NW corner),NY,nyc_open_data:8vwk-6iz2
La Familia Verde Farmers Market / Highbridge Farmers Market,Bronx,40.843627,-73.922243,,,,,1430 Plimpton Ave.,NY,nyc_open_data:8vwk-6iz2
Harlem Meer Farmstand,Manhattan,40.798038,-73.951910,,,,,Central Park N & Malcom X Blvd,NY,nyc_open_data:8vwk-6iz2
McCarren Park Greenmarket,Brooklyn,40.719219,-73.952479,,,,,N. 12th bet Union & Driggs,NY,nyc_open_data:8vwk-6iz2
Union Square Greenmarket,Manhattan,40.737133,-73.990329,,,,,Union Square W. & 17th St.,NY,nyc_open_data:8vwk-6iz2
Abingdon Square Greenmarket,Manhattan,40.737553,-74.005687,,,,,Hudson St. & W 12th St.,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Blue Cross Blue Shield @ Church Avenue,Brooklyn,40.650241,-73.960632,,,,,2009 Church Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle Crown Heights Farm Stand,Brooklyn,40.6744,-73.960254,,,,,750 Classon Ave. (PS 216),NY,nyc_open_data:8vwk-6iz2
NYP Youth Market - Broadway,Manhattan,40.865881,-73.926314,,,,,4781-4783 Broadway,NY,nyc_open_data:8vwk-6iz2
Queens Farm @ Jamaica Hospital,Queens,40.70236,-73.818531,,,,,134-20 Jamaica Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home North Central Bronx Farmers Market,Bronx,40.8797,-73.884661,,,,,Mosholu Parkway & Jerome Ave.,NY,nyc_open_data:8vwk-6iz2
Market in the Heights at CCNY,Manhattan,40.819407,-73.950171,,,,,138th St. & Convent Ave.,NY,nyc_open_data:8vwk-6iz2
Bensonhurst Greenmarket,Brooklyn,40.609588,-73.999677,,,,,18th Ave. bet 81st & 82nd Sts.,NY,nyc_open_data:8vwk-6iz2
RiseBoro Farmers Market at Maria Hernandez Park,Brooklyn,40.702811,-73.92539,,,,,Knickerbocker Ave. bet Sudyam St. & Starr St.,NY,nyc_open_data:8vwk-6iz2
Eastchester Farmstand,Bronx,40.88372,-73.842046,,,,,1250 E. 229th St.,NY,nyc_open_data:8vwk-6iz2
Saratoga Farm Stand,Brooklyn,40.678562,-0.000079704,,,,,1965-1971 Fulton St.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Kings County Hospital Farmers Market,Brooklyn,40.6558,-73.943355,,,,,Clarkson Ave. bet E. 37th & 38th Sts.,NY,nyc_open_data:8vwk-6iz2
RiseBoro Farmers Market at Hopefield,Brooklyn,40.69768,-73.916366,,,,,Knickerbocker Ave. bet Menahan St. & Grove St.,NY,nyc_open_data:8vwk-6iz2
Myrtle-Wyckoff Greenmarket,Queens,40.699798,-73.911523,,,,,Wyckoff bet Gates & Myrtle Aves,NY,nyc_open_data:8vwk-6iz2
4th Ave Sunset Park Greenmarket,Brooklyn,40.647975,-74.003744,,,,,4th Ave. 60th St.,NY,nyc_open_data:8vwk-6iz2
Cortelyou Greenmarket,Brooklyn,40.640510,-73.966021,,,,,Cortelyou bet Rugby & Argyle,NY,nyc_open_data:8vwk-6iz2
Cunningham Park's Down to Earth Farmers Market,Queens,40.731082,-73.773997,,,,,Union Turnpike & 196th Place,NY,nyc_open_data:8vwk-6iz2
Stuyvesant Town Greenmarket,Manhattan,40.731498,-73.97818,,,,,South end of Stuyvesant Town Oval,NY,nyc_open_data:8vwk-6iz2
Elmhurst Hospital Greenmarket,Queens,40.745794,-73.885489,,,,,41st Ave. bet 80th & 81st Sts.,NY,nyc_open_data:8vwk-6iz2
Woodhull Hospital Farmstand,Brooklyn,40.701022,-73.942202,,,,,Broadway & Graham Ave.,NY,nyc_open_data:8vwk-6iz2
Greenmarket at the Oculus,Manhattan,40.711466,-74.010662,,,,,Church at Fulton St.,NY,nyc_open_data:8vwk-6iz2
Bowling Green Greenmarket,Manhattan,40.704549,-74.01429,,,,,Broadway at Battery Place,NY,nyc_open_data:8vwk-6iz2
Sunnyside Greenmarket,Queens,40.747010,-73.92173,,,,,Skillman Ave. & 43rd St.,NY,nyc_open_data:8vwk-6iz2
Brooklyn Borough Hall Greenmarket,Brooklyn,40.693722,-73.990455,,,,,Montague & Court Sts.,NY,nyc_open_data:8vwk-6iz2
Edible Schoolyard NYC's Farm Stand at PS 216,Brooklyn,40.590564,-73.969964,,,,,350 Ave. X,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at the Bureau of Brooklyn Neighborhood Health,Brooklyn,40.685547,-73.941282,,,,,485 Throop Ave.,NY,nyc_open_data:8vwk-6iz2
Project EATS Brownsville Farm Stand,Brooklyn,40.664477,-73.910384,,,,,300 Chester St.,NY,nyc_open_data:8vwk-6iz2
Children's Aid  Go!Healthy Food Box + Farmstand - Milbank Center,Manhattan,40.802317,-73.946351,,,,,14-32 W. 118th St.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Hunts Point Farm Stand,Bronx,40.81894,-73.893492,,,,,Southern Blvd bet Barretto & Tiffany Sts. (Luis Suarez Memorial Park),NY,nyc_open_data:8vwk-6iz2
Bay Ridge Greenmarket,Brooklyn,40.617810,-74.033380,,,,,3rd Ave. & 95th St.,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Blue Cross Blue Shield @ Knickerbocker Avenue,Brooklyn,40.70048,-73.921519,,,,,364 Knickerbocker Ave.,NY,nyc_open_data:8vwk-6iz2
Sovereign Markets,Queens,40.668389,-73.751972,,,,,Laurelton Long Island Railroad Station Commuter Parking Lot - Prospect Ct. bet 224th & 225th Sts.,NY,nyc_open_data:8vwk-6iz2
Forest Hills Greenmarket,Queens,40.722054,-73.847155,,,,,Queens Blvd. & 70th Ave.,NY,nyc_open_data:8vwk-6iz2
Isabahlia Farmers Market,Brooklyn,40.663532,-73.902236,,,,,410 Livonia Ave. (In Front of Powell St. Garden),NY,nyc_open_data:8vwk-6iz2
Van Cortlandt Park Alliance Amalgamated Housing Youth Farmstand,Bronx,40.884532,-73.892172,,,,,Orloff Ave. & Gale Place,NY,nyc_open_data:8vwk-6iz2
Parkchester Greenmarket,Bronx,40.833279,-73.862833,,,,,Westchester Ave. & White Plains Road,NY,nyc_open_data:8vwk-6iz2
Hattie Carthan Herbal Apothecary/ Market,Brooklyn,40.690036,-73.943557,,,,,48 Van Buren St.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Mt. Eden Malls Farmers Market,Bronx,40.8429,-73.909558,,,,,Mt. Eden & Morris Aves (Claremont Park),NY,nyc_open_data:8vwk-6iz2
94th Street Greenmarket,Manhattan,40.781968,-73.945267,,,,,E. 94th St. & 1st Ave.,NY,nyc_open_data:8vwk-6iz2
East New York Farmers Market,Brooklyn,40.665296,-73.886557,,,,,Schenck Ave. bet New Lots & Livonia Aves,NY,nyc_open_data:8vwk-6iz2
McGolrick Park's Down to Earth Farmers Market,Brooklyn,40.725617,-73.944497,,,,,Russell St. & Nassau Ave. (center of park),NY,nyc_open_data:8vwk-6iz2
Mott Haven Farm Stand,Bronx,40.807883,-73.917885,,,,,541 E. 139th St. (Padre Plaza Garden),NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle Brownsville Farm Stand,Brooklyn,40.665965,-73.918107,,,,,104 Sutter Ave. (IS 392),NY,nyc_open_data:8vwk-6iz2
La Familia Verde Farmers Market,Bronx,40.846448,-73.893563,,,,,E. Tremont Ave. bet Arthur Ave. & LaFontaine Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Brower Park Farm Stand,Brooklyn,40.674,-73.944544,,,,,Brooklyn Ave. & Prospect Place,NY,nyc_open_data:8vwk-6iz2
Two Bridges Youth Market,Manhattan,40.711958,-73.997825,,,,,50 Madison St.,NY,nyc_open_data:8vwk-6iz2
NYP Youth Market - Audobon,Manhattan,40.839441,-73.939118,,,,,21 Audobon Ave.,NY,nyc_open_data:8vwk-6iz2
Riverdale Neighborhood House,Bronx,40.903039,-73.90375,,,,,5521 Mosholu Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Brownsville I.S. 392 Farm Stand,Brooklyn,40.665965,-73.918107,,,,,104 Sutter Ave.,NY,nyc_open_data:8vwk-6iz2
57th Street Greenmarket,Manhattan,40.769117,-73.988559,,,,,W. 57th St. & 10th Ave.,NY,nyc_open_data:8vwk-6iz2
Hattie Carthan Community Market,Brooklyn,40.689628,-73.946882,,,,,363-365 Clifton Place,NY,nyc_open_data:8vwk-6iz2
Cypress Hills Farmstand,Brooklyn,40.682391,-73.913554,,,,,Fulton St. bet Richmond and Logan Sts. (in front of Cypress Hills Senior Center),NY,nyc_open_data:8vwk-6iz2
Wyckoff House Museum Farmstand,Brooklyn,40.64497,-73.920914,,,,,5816 Clarendon Road,NY,nyc_open_data:8vwk-6iz2
Park Slope's Down to Earth Farmers Market,Brooklyn,40.672194,-73.983785,,,,,4th St. & 5th Ave.,NY,nyc_open_data:8vwk-6iz2
Queens Farm - Queens Borough Hall,Queens,40.713318,-73.82858,,,,,120-55 Queens Blvd.,NY,nyc_open_data:8vwk-6iz2
St. Albans Farmers Market,Queens,40.69225,-73.766682,,,,,St. Albans Long Island Railroad Commuter Parking Lot - Linden Blvd. bet 180th & Newburg Sts.,NY,nyc_open_data:8vwk-6iz2
Flushing Greenmarket,Queens,40.757731,-73.824852,,,,,Sanford Ave. & Union St. (Bowne Playground),NY,nyc_open_data:8vwk-6iz2
Grass Roots Farmers' Market,Manhattan,40.823647,-73.943844,,,,,"W. 145th St. bet Edgecombe & Bradhurst Aves, at Jackie Robinson Park",NY,nyc_open_data:8vwk-6iz2
Bro Sis Green Youth Market,Manhattan,40.82394,-73.948552,,,,,"Amsterdam bet W. 143rd & 144th Sts., at Johnny Hartman Plaza",NY,nyc_open_data:8vwk-6iz2
Sunset Park Farmstand,Brooklyn,40.645841,-74.002402,,,,,7th Ave. and 44th St.,NY,nyc_open_data:8vwk-6iz2
Market in the Heights at 125,Manhattan,40.809344,-73.947722,,,,,163 West 125th St.,NY,nyc_open_data:8vwk-6iz2
Forest Park Farmstand,Queens,40.701192,-73.841597,,,,,Park Lane South & Myrtle Ave. (My Buddy Statue Plaza),NY,nyc_open_data:8vwk-6iz2
Harvest Home Coney Island Hospital Farmers Market,Brooklyn,40.5867,-73.96615,,,,,Ocean Parkway bet Ave. Z & Shore Parkway,NY,nyc_open_data:8vwk-6iz2
Boro Park Greenmarket,Brooklyn,40.633285,-73.990548,,,,,14th Ave. bet 49th & 50th Sts.,NY,nyc_open_data:8vwk-6iz2
Ridgewood Farmstand,Queens,40.700403,-73.90668,,,,,Cypress Ave. bet Myrtle Ave. & Putnam Ave.,NY,nyc_open_data:8vwk-6iz2
Corona Greenmarket,Queens,40.749869,-73.862726,,,,,Roosevelt Ave. & 103rd St.,NY,nyc_open_data:8vwk-6iz2
Tucker Square Greenmarket,Manhattan,40.773709,-73.98196,,,,,Columbus & 66th St.,NY,nyc_open_data:8vwk-6iz2
Bartel-Pritchard Square Greenmarket,Brooklyn,40.661354,-73.969680,,,,,Prospect Park W. at 15th St.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Jacobi Hospital Farmers Market,Bronx,40.8574,-73.847079,,,,,1400 Pelham Parkway,NY,nyc_open_data:8vwk-6iz2
Socrates Sculpture Park,Queens,40.767634,-73.936314,,,,,32-01 Vernon Blvd.,NY,nyc_open_data:8vwk-6iz2
Edgemere Farm Market,Queens,40.595255,-73.776524,,,,,385 Beach 45th St.,NY,nyc_open_data:8vwk-6iz2
Morning Glory Market at the New York Botanical Gardens,Bronx,40.865684,-73.883312,,,,,2900 Southern Blvd.,NY,nyc_open_data:8vwk-6iz2
Jackson Heights Greenmarket,Queens,40.753607,-73.887739,,,,,34th Ave. & 79th St.,NY,nyc_open_data:8vwk-6iz2
Mount Sinai Greenmarket,Manhattan,40.789386,-73.952595,,,,,Madison Ave. & 99th St.,NY,nyc_open_data:8vwk-6iz2
East New York Farmers Stand I,Brooklyn,40.675404,-73.871914,,,,,Euclid & Pitkin Aves.,NY,nyc_open_data:8vwk-6iz2
Chelsea's Down to Earth Farmers Market,Manhattan,40.745293,-73.998488,,,,,W. 23rd St. bet 8th & 9th Aves.,NY,nyc_open_data:8vwk-6iz2
Urban Oasis,Brooklyn,40.657269,-73.934066,,,,,681 Clarkson Ave.,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Canarsie Pier,Brooklyn,40.6289,-73.8842,,,,,Canarsie Veteran's Circle,NY,nyc_open_data:8vwk-6iz2
People in Need Farmstand,Brooklyn,40.642934,-73.978827,,,,,114 Beverly Road,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Ocean Hill - Brownsville Farm Stand,Brooklyn,40.675024,-73.915778,,,,,2163 Dean St.,NY,nyc_open_data:8vwk-6iz2
Brooklyn Grange Farm Stand,Brooklyn,40.658518,-74.003327,,,,,850 3rd Ave. (Roof),NY,nyc_open_data:8vwk-6iz2
97th Street Greenmarket,Manhattan,40.794003,-73.96807,,,,,97th St. bet Columbus & Amsterdam Aves,NY,nyc_open_data:8vwk-6iz2
Harvest Home Metropolitan Hospital Farmers Market,Manhattan,40.784943,-73.946589,,,,,E. 97th St. & 2nd Ave.,NY,nyc_open_data:8vwk-6iz2
Project EATS Farm Stand at Essex Crossing,Manhattan,40.719322,-73.987817,,,,,115 Delancey St.,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at the American Beverage Association,Brooklyn,40.678542,-73.917821,,,,,2010 Fulton St.,NY,nyc_open_data:8vwk-6iz2
Heritage Farm Stand (Compost Demonstration Site),Staten Island,40.645075,-74.104753,,,,,1000 Richmond Terrace (compost demonstration site),NY,nyc_open_data:8vwk-6iz2
The Market at Preston,Bronx,40.814256,-73.819339,,,,,2780 Schurz Ave. (Preston High School),NY,nyc_open_data:8vwk-6iz2
Dag Hammarskjold Greenmarket,Manhattan,40.752122,-73.968154,,,,,47th St. & 2nd Ave.,NY,nyc_open_data:8vwk-6iz2
St. George Greenmarket,Staten Island,40.641586,-74.0779,,,,,St Marks Pl. & Hyatt St.,NY,nyc_open_data:8vwk-6iz2
Columbia Greenmarket,Manhattan,40.807145,-73.964265,,,,,Broadway & 114th St.,NY,nyc_open_data:8vwk-6iz2
Fort Greene Greenmarket,Brooklyn,40.691457,-73.973421,,,,,Washington Park & Dekalb Ave.,NY,nyc_open_data:8vwk-6iz2
Bronx Borough Hall Greenmarket,Bronx,40.827335,-73.922911,,,,,161st St. & Grand Concourse,NY,nyc_open_data:8vwk-6iz2
Norwood Farmstand,Bronx,40.88222,-73.880458,,,,,E. Gun Hill Rd. & Dekalb Ave. (SE corner),NY,nyc_open_data:8vwk-6iz2
79th Street Greenmarket,Manhattan,40.782295,-73.975244,,,,,79th St. & Columbus Ave.,NY,nyc_open_data:8vwk-6iz2
Red Hook Farm Stand,Brooklyn,40.672524,-74.00871,,,,,560 Columbia St.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Crown Heights - Clara Barton HS Farm Stand,Brooklyn,40.669567,-73.961962,,,,,901 Classon Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Utica Avenue Farmers Market,Brooklyn,40.668754,-73.930136,,,,,Eastern Parkway bet Utica & Rochester Aves,NY,nyc_open_data:8vwk-6iz2
Lower East Side Farmstand,Manhattan,40.71521,-73.984258,,,,,Grand St. bet Pitt and Willett Sts. (outside of Abrons Arts Center),NY,nyc_open_data:8vwk-6iz2
Riverdale Y Sunday Farmers Market,Bronx,40.891762,-73.912208,,,,,4545 Independence Ave.,NY,nyc_open_data:8vwk-6iz2
Flatbush Junction Farmstand,Brooklyn,40.632886,-73.947698,,,,,Nostrand & Flatbush Aves,NY,nyc_open_data:8vwk-6iz2
Black Radish Farmers Market,Brooklyn,40.651146,-73.888606,,,,,12020 Flatlands Ave.,NY,nyc_open_data:8vwk-6iz2
Harvest Home Co-op City Farm Stand,Bronx,40.8702,-73.830963,,,,,Asch Loop & Aldrich Ave.,NY,nyc_open_data:8vwk-6iz2
Grand Army Plaza Greenmarket,Brooklyn,40.672525,-73.969799,,,,,Grand Army Plaza,NY,nyc_open_data:8vwk-6iz2
Kingsbridge-Riverdale Farmers' Market,Bronx,40.880038,-73.907005,,,,,260 W. 231st St.,NY,nyc_open_data:8vwk-6iz2
NYP Youth Market - Queens,Queens,40.754714,-73.893504,,,,,73-15 Northern Blvd.,NY,nyc_open_data:8vwk-6iz2
Queens County Farm Museum Farm Stand,Queens,40.748163,-73.719431,,,,,73-50 Little Neck Parkway,NY,nyc_open_data:8vwk-6iz2
Heritage Farm Stand (Gazebo Road),Staten Island,40.645075,-74.104753,,,,,1000 Richmond Terrace (Gazebo Road),NY,nyc_open_data:8vwk-6iz2
Morningside Park's Down to Earth Farmers Market,Manhattan,40.801155,-73.959647,,,,,W. 110th St. & Manhattan Ave.,NY,nyc_open_data:8vwk-6iz2
